hour,oaid,os,item_names,brand,sw,sh,req_id,key,request_uri
20,,10,"爱情,都市,家庭",xiaomi,0,0,ZK_ql4NzKwlW3lV0,8f6b80b923b1af02727c225a62084574,/mango.htm
20,,9,"真人秀,美食",XGIMI,0,0,ZK_qoHgmtgkEnjj7,21c48c5ad9820334ec2928a2dff6afd2,/mango.htm
20,,,"战争,剧情",Skyworth,0,0,ZK_rJHgmtgkEnuQ1,b8591c822ede1d868bc1399121a00583,/mango.htm
20,,,其他,Xiaomi,0,0,ZK_rK2yFqUskQ3C5,c752b05155cfb03bbb5bcbfe935b11f5,/mango.htm
20,DA8732E2F5934114A1679186EAC911C7386bd04791783e02f67a7334b6f6a8a3,Android_13,"芒果出品,真人秀,明星,搞笑",OPPO,2280,1080,ZK_rlS_xbmuua_t9,DA8732E2F5934114A1679186EAC911C7386bd04791783e02f67a7334b6f6a8a3,/mango.htm
20,,,"剧情,悬疑,谍战,年代",Xiaomi,0,0,ZK_rvglJIgktIN56,8629118e4d187999a326ee262c4e856c,/mango.htm
20,,,"都市,爱情,剧情",ChangHong,0,0,ZK_rvomdFkwHyI_7,5d3c0977d76da72148db0c2daea5ab79,/mango.htm
20,b66ce855a26e033e16e5513edd13fe8828f681a4e5f2c8cbc9b1b2a7e80b551f,Android_13,"爱情,都市",samsung,1080,2259,ZK_ry5Avywku1Ey9,b66ce855a26e033e16e5513edd13fe8828f681a4e5f2c8cbc9b1b2a7e80b551f,/mango.htm
20,,9,"真人秀,竞技",xiaomi,0,0,ZK_ryAx3jBktw8y4,ad4c667fb80fab20d146eec9c7988cb4,/mango.htm
20,,Windows,"都市,爱情,芒果出品",,0,0,ZK_ryC_xbmuubDw6,NUM0RUI4NTlDQTEzMURFODhDNjJENDEzOThBOTdCQzQ=,/mango.htm
20,aa810d90fdaf8797,Android_13,"亲子,明星,真人秀,教育,芒果出品",Xiaomi,2120,1080,ZK_s-pLUimHlw6k1,aa810d90fdaf8797,/mango.htm
20,,,音乐,xiaomi,0,0,ZK_s4E2VgwkycDS8,004ba452e2d3bf1c2057a06a30a2e8ef,/mango.htm
20,,9,"芒果出品,爱情,古装",Changhong,0,0,ZK_s6v81KAl05W-6,7c6032b2496a3fd2ed36b5673ef0b2a6,/mango.htm
20,,9,其他,SHARP,0,0,ZK_sN8VK_Ql3g3b2,9cf7dc0e100c198e31ac7a03eb9ca793,/mango.htm
20,8638d503f67ebbf9,Android_9,其他,xiaomi,2260,1036,ZK_sT-j6DwluDOf1,8638d503f67ebbf9,/mango.htm
20,,,"真人秀,益智,芒果出品",apple,2224,1668,ZK_sUROoCwiTwra4,7CB0D1B7-4275-47E6-BCF5-DF168DF103B7,/mango.htm
20,,Mac,"都市,爱情",,0,0,ZK_sVqJ1tQk4iTz1,MDJDRDk5QUM2QTdFNTI3MDdBREY0MzU2NUI1OEIxQjY=,/mango.htm
20,,9,"剧情,爱情,古装",Xiaomi,0,0,ZK_scp-kIQlYKHW7,26e5e609f33e29bbf400a4b7d043904f,/mango.htm
20,,Android_12,"都市,爱情,芒果出品",HUAWEI,1080,2259,ZK_seaJ1tQk4iWY9,f7e5bede-8373-e351-b5ff-bffddeff3e88,/mango.htm
20,,Android_10,其他,HONOR,2224,1080,ZK_sgloTBhZtIzW0,b7f3fd5f-ddbf-a572-fbfd-e99ff7ffcdf1,/mango.htm
20,,,其他,Xiaomi,0,0,ZK_shPb6IwhtJdT2,4322f1a9bbe4f40d5a6776d1ad1dd13c,/mango.htm
20,,,"都市,爱情,剧情",skyworthbox,0,0,ZK_sl6KPIQhj3kg4,f385639248eea7e0d1f81b2f69eee856,/mango.htm
20,,,"爱情,剧情",apple,828,1792,ZK_tnojR0QlAujm3,B0D8630A-FBFC-48AC-95D6-3E5DEC74FC6F,/mango.htm
20,,Android_10,"都市,校园,家庭",HUAWEI,2265,1080,ZK_u0BqdiglOfmn3,fbeec9bf-a7f5-4edd-f570-2eddfc7f8e54,/mango.htm
20,,,"宫廷,古装,爱情,剧情",ChangHong,0,0,ZK_u1-8jxQlRpIy0,39ccfa912dd0f4216a7566e33a4ad3ba,/mango.htm
20,,,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",Sony,0,0,ZK_u2YjR0QlAu6O4,0047a7ca0ee9c61d2e97256465837f15,/mango.htm
20,,9,"爱情,都市,家庭",TCL,0,0,ZK_uDS_xbmuubup2,f113bf9e198ef7892e08f7cf4c031257,/mango.htm
20,,,其他,Hisense,0,0,ZK_uIvb6IwhtK0B2,87ccd3405faf0b151731462efcfe43a6,/mango.htm
20,,,"爱情,奇幻",Skyworth,0,0,ZK_uOaJ1tQk4i3J1,62735d02b5f22f94275723e28c780932,/mango.htm
20,,,"亲子,明星,真人秀,教育,芒果出品",apple,2160,1620,ZK_udMM1KkvQRmm4,5ee27d8d374c503b97f336d981b027c1c48cde5b,/mango.htm
20,,,"科幻,爱情",Hisense,0,0,ZK_ujr36HAmDZIG9,acf76f3dce108c5ea8e987a54ce0babd,/mango.htm
20,,,"都市,职场",Dangbei,0,0,ZK_ulLxPiRM0Ypf5,9c251e4fc28f2d9346f5c92954334179,/mango.htm
20,,10,"爱情,剧情,芒果出品",xiaomi,0,0,ZK_v35-kIQlYLGi7,694b27da6bf27273650b6eec21fd6715,/mango.htm
20,,,"警匪,悬疑,动作",Xgimi,0,0,ZK_v3sKDAgJ8u1u1,f87f8c4a86392cd256644ebb61d8756b,/mango.htm
20,,,"亲子,明星,真人秀,教育,芒果出品",apple,2388,1668,ZK_vFaniKwiE3Rr6,b2cd74b082a980556cb3a0104912cc745cd23236,/mango.htm
20,,,"爱情,言情,都市,芒果出品",Changhong,0,0,ZK_vRyzKcAljrHY3,18802795713f4c2864d71f64e6af6b39,/mango.htm
20,,,"益智,真人秀,搞笑,芒果出品",Skyworth,0,0,ZK_vZXgWxAhURgO5,9302b78b9e734e72f0bfb9ff887df1da,/mango.htm
20,,,其他,SHARP,0,0,ZK_vwuxxVQiE-di0,b4ad24a2adbe1a82cf00b020a7cbc27a,/mango.htm
20,,,"古装,爱情",Coocaa,0,0,ZK_w5cVK_Ql3iM32,1cf8fb7eacb3ecd72173c26a5192d7d4,/mango.htm
20,,,剧情,rockchip,0,0,ZK_wBAlJIgktJdR4,37380a54a28ff4c4252481dd965c7091,/mango.htm
20,,,"亲子,明星,真人秀,教育,芒果出品",Xiaomi,0,0,ZK_wFMVK_Ql3h-l6,688eb72b2ea373669e76e5d72a3a069e,/mango.htm
20,,,"亲子,明星,真人秀,教育,芒果出品",Xiaomi,0,0,ZK_wFMVK_Ql3h-l6,688eb72b2ea373669e76e5d72a3a069e,/mango.htm
20,9b648c3a05af2e03b4e7f471bb4d8bdac5769bdc3b4e878f36f4731b4add52b6,Android_11,其他,vivo,1080,2308,ZK_wMyzKcAljrXw2,9b648c3a05af2e03b4e7f471bb4d8bdac5769bdc3b4e878f36f4731b4add52b6,/mango.htm
20,ACA3890B64504772817B77F444C94D9E8d46d2abe3a7aeb18d39b37c1299aa8f,android,"真人秀,芒果出品",OPPO,1080,2285,ZK_wOSzKcAljrYO1,ACA3890B64504772817B77F444C94D9E8d46d2abe3a7aeb18d39b37c1299aa8f,/mango.htm
20,,,"芒果出品,网剧,都市,爱情",MStar,0,0,ZK_wvoNzKwlW5Yt0,ea7aa3e2c36a9e2cdcf7e340f0424758,/mango.htm
20,,,"益智,真人秀,搞笑,芒果出品",apple,2160,1620,ZK_xA65hVWc0EsF8,D23744FC-6D8B-4E76-A0DC-1A1C9E9ACA8E,/mango.htm
20,ecf29739c08acd885c8f58d62161de43a300bda1139e84fbf575afbb7e471ecc,Android_12,"都市,爱情,剧情",vivo,2308,1080,ZK_xG65hVWc0Ezt2,ecf29739c08acd885c8f58d62161de43a300bda1139e84fbf575afbb7e471ecc,/mango.htm
20,,,"都市,爱情,剧情",SHARP,0,0,ZK_xGVVHmwhrDu88,bc0d6081e9d25784830f2e2d46d532ed,/mango.htm
20,,,"亲子,明星,真人秀,教育,芒果出品",apple,2360,1640,ZK_xJYmdFkwH2g24,a7680715311029c411af7843e5531e6181970b41,/mango.htm
20,,,其他,HUAWEI,1080,2292,ZK_xJf81KAl06jz4,6648d56a-5b4a-458b-a317-2d10ab424de2,/mango.htm
20,,,"真人秀,竞技",alps,0,0,ZK_xLSEGJwlcE8J8,beb630be6dda42698e37b3bee4e7caa9,/mango.htm
20,,,"真人秀,竞技",apple,2208,1242,ZK_xYr36HAmDZ6t1,4677111E-D37D-4F15-9FAE-7FC83CCC1CAD,/mango.htm
20,,,"爱情,都市,家庭",SHARP,0,0,ZK_xcr36HAmDZ707,5844c92f8a3418b416d7a3b7c5f3e536,/mango.htm
20,,,"爱情,都市,家庭",SHARP,0,0,ZK_xcr36HAmDZ707,5844c92f8a3418b416d7a3b7c5f3e536,/mango.htm
20,,Android,"年代,战争,抗战,剧情",Android,0,0,ZK_xhswOBAlXH5z7,6fc183a0559c9561f9da2b4b031c95e2,/mango.htm
20,,9,"青春,校园",Xiaomi,0,0,ZK_xptrazQltGWL1,eec64393354d2e2c8ffe34603694d2f3,/mango.htm
20,,,"爱情,言情,都市,芒果出品",MStar,0,0,ZK_y7lHzAQlE8j74,cded9db7c2b3bed385442b3211011e29,/mango.htm
20,,Android_12,"剧情,喜剧,爱情,家庭",HONOR,1080,2202,ZK_yE4VPiwlx6fd1,4fb0efd0-fd94-4f84-80cf-ca709817a2b7,/mango.htm
20,,,"真人秀,竞技",apple,1125,2436,ZK_yOJL5zANjRFz6,850a216fb0d6602aba45496261186849f147bc3d,/mango.htm
20,,,"青春,校园",Android,0,0,ZK_yXmyFqUskS7Y7,b6603788dda84c1e0fea37d56f2f35de,/mango.htm
20,,Android_10,"益智,真人秀,搞笑,芒果出品",HUAWEI,1080,2197,ZK_yaC_xbmuuc8n4,5e71b941-b289-48af-baeb-d538b276a6b0,/mango.htm
20,,linux,"益智,真人秀,搞笑,芒果出品",SAMSUNG,0,0,ZK_ytWYnbQhiUm55,0d6f5775ebd84b86213b32d895db477d,/mango.htm
20,626E8413D9D54873ADD415101A68758804da7fc5eea8849b5e1e708dbcf0642e,Android_10,"都市,爱情",OPPO,2264,1080,ZK_ywwx3jBkty706,626E8413D9D54873ADD415101A68758804da7fc5eea8849b5e1e708dbcf0642e,/mango.htm
20,80138D6AE32041AE89F39D3B71D351F3f46faebd7309d49697e653e560188b32,android,其他,OPPO,1080,2331,ZK_yzJL5zANjRP77,80138D6AE32041AE89F39D3B71D351F3f46faebd7309d49697e653e560188b32,/mango.htm
20,8D17597A61DA4DDB82713D42F1B04340a28ccde685a719f5c7e58a80247f196b,Android_13,"爱情,都市",OPPO,1080,2305,ZK_z88wOBAlXIkJ3,8D17597A61DA4DDB82713D42F1B04340a28ccde685a719f5c7e58a80247f196b,/mango.htm
20,d9ac40a564b0f35e11e2817f4d1f302f1d417f450417751ba6332df613b6d1c8,Android_11,"芒果出品,真人秀",vivo,2190,1080,ZK_z_whIQAljyp78,d9ac40a564b0f35e11e2817f4d1f302f1d417f450417751ba6332df613b6d1c8,/mango.htm
0,,Windows,"爱情,都市,家庭,悬疑",,0,0,ZK7O-aJ1tWUUfPS3,QzI1OTkxRDdBMzRBODdBMUI2QThDNDA5MDYzRkNCRjM=,/mango.htm
0,AFD7C9A4C7244596A4F7F18931D5D8D40c9416c375ac3f2745cf1b2711abbdfa,android,"芒果出品,悬疑,犯罪",OPPO,2158,1080,ZK7O0TnHUwlXDzf7,AFD7C9A4C7244596A4F7F18931D5D8D40c9416c375ac3f2745cf1b2711abbdfa,/mango.htm
0,,Android_10,"芒果出品,真人秀,明星,搞笑",HUAWEI,1080,2289,ZK7O0zDlHwmbBji3,6bc83a19-0bb9-4983-b969-a49fa307ccb0,/mango.htm
0,,,"警匪,悬疑,都市",apple,1125,2436,ZK7O2GYpeglMzHL7,dbc038aaa3b511ca75286839cd4ede74ca83216e,/mango.htm
0,01b13f814dea1045,Android_11,"芒果出品,真人秀,明星,搞笑",Redmi,2400,1036,ZK7O4S_xbj8nnEw5,01b13f814dea1045,/mango.htm
0,,,"爱情,都市,芒果出品",apple,1792,828,ZK7O7ZL5zFxcrRS2,5f0eaac2c74e0bb034ec6d38ff39352ed7ea6e41,/mango.htm
0,,Windows,"真人秀,芒果出品",,0,0,ZK7O9p_HQj_QVi69,OTdBNEQxRjREQUMzQzRGNTFGNUQ4MjUwNjFFREJCOEI=,/mango.htm
