hour,oaid,os,item_names,brand,sw,sh,req_id,key,,request_uri
18,,,"古装,爱情",apple,1284,2778,ZKk5TFoTBmi2COl4,a2e5e7349c0332ec023cda2a96d4e0c48b3ab53a,1,/mango.htm
19,a2e93d389a8b52f8,Android_12,"都市,校园,家庭",Xiaomi,2560,1568,ZKlHmOfIIAk9N8y9,a2e93d389a8b52f8,1,/mango.htm
0,,,"剧情,悬疑,谍战,年代",Hisense,,,ZKg83Qx3jGQUG651,a2eba626811a11f0fcd884b9382ff1be,1,/mango.htm
19,A2EC0D7B83CA41F2A2F3A660B252A98Ca4eacdecb5ae5cd35ec739a44b1e846b,Android_12,"芒果出品,悬疑,犯罪",OPPO,1080,2285,ZKlIuy_xbm9hdPT6,A2EC0D7B83CA41F2A2F3A660B252A98Ca4eacdecb5ae5cd35ec739a44b1e846b,1,/mango.htm
17,,,"剧情,爱情,芒果出品,都市",apple,1170,2532,ZKkqfddNnglBWxp4,A2EEF145-CC5D-45AA-A410-3CE1EFC3A2B2,1,/mango.htm
15,a2ef16eda11aa0ae,Android_11,"爱情,都市,芒果出品",Xiaomi,2560,1564,ZKkWi-hm0wlkxBh5,a2ef16eda11aa0ae,1,/mango.htm
23,a2efa9dd6184bbb2449c2bf1589839b1f6340302ab26c48c894f0faf38d07e08,Android_11,"爱情,言情,都市,芒果出品",vivo,1080,2216,ZKmC5KJ1tQ7cd_22,a2efa9dd6184bbb2449c2bf1589839b1f6340302ab26c48c894f0faf38d07e08,1,/mango.htm
16,,Android_10,剧情,HUAWEI,2328,1128,ZKkchKOXmAlPuwH3,a2efbd1f-7e4b-c7b5-bede-3feff9b644fd,1,/mango.htm
18,,,其他,Xiaomi,,,ZKk_gDSmkAk0kHX2,a2f14d9c0f3888c3b9fcb4df94095d98,1,/mango.htm
14,,,"剧情,喜剧,爱情,家庭",apple,2160,1620,ZKkD6XrrPwlmW6x2,a2f246062c9c5922c96ff5aa6b4a8247c239876e,1,/mango.htm
7,,,"家庭,喜剧,青春",Xiaodu,,,ZKicXKOXmAlPQYF1,a2f349301126a791e693fa503becfcd2,1,/mango.htm
