timestamp,exposure
2023/7/16 9:10,37082
2023/7/16 9:20,37763
2023/7/16 9:30,48518
2023/7/16 9:40,37776
2023/7/16 9:50,36997
2023/7/16 10:00,55742
2023/7/16 10:10,50133
2023/7/16 10:20,43282
2023/7/16 10:30,47665
2023/7/16 10:40,64258
2023/7/16 10:50,50197
2023/7/16 11:00,62810
2023/7/16 11:10,48560
2023/7/16 11:20,50241
2023/7/16 11:30,55815
2023/7/16 11:40,66351
2023/7/16 11:50,76208
2023/7/16 12:00,76755
2023/7/16 12:10,69005
2023/7/16 12:20,62944
2023/7/16 12:30,59438
2023/7/16 12:40,55253
2023/7/16 12:50,60263
2023/7/16 13:00,66107
2023/7/16 13:10,56291
2023/7/16 13:20,51469
2023/7/16 13:30,48533
2023/7/16 13:40,44623
2023/7/16 13:50,69720
2023/7/16 14:00,60343
2023/7/16 14:10,51086
2023/7/16 14:20,44817
2023/7/16 14:30,42498
2023/7/16 14:40,51083
2023/7/16 14:50,50583
2023/7/16 15:00,52690
2023/7/16 15:10,49770
2023/7/16 15:20,46579
2023/7/16 15:30,46983
2023/7/16 15:40,48324
2023/7/16 15:50,47639
2023/7/16 16:00,58702
2023/7/16 16:10,50176
2023/7/16 16:20,46109
2023/7/16 16:30,42126
2023/7/16 16:40,50895
2023/7/16 16:50,64680
2023/7/16 17:00,64693
2023/7/16 17:10,65532
2023/7/16 17:20,65475
2023/7/16 17:30,81085
2023/7/16 17:40,96562
2023/7/16 17:50,95224
2023/7/16 18:00,86087
2023/7/16 18:10,73758
2023/7/16 18:20,67120
2023/7/16 18:30,62881
2023/7/16 18:40,62060
2023/7/16 18:50,123055
2023/7/16 19:00,70428
2023/7/16 19:10,58961
2023/7/16 19:20,62631
2023/7/16 19:30,61253
2023/7/16 19:40,63985
2023/7/16 19:50,106380
2023/7/16 20:00,70417
2023/7/16 20:10,50906
2023/7/16 20:20,53704
2023/7/16 20:30,50899
2023/7/16 20:40,54351
2023/7/16 20:50,101159
2023/7/16 21:00,52176
2023/7/16 21:10,40807
2023/7/16 21:20,41964
2023/7/16 21:30,38635
2023/7/16 21:40,48708
2023/7/16 21:50,69381
2023/7/16 22:00,31728
2023/7/16 22:10,23618
2023/7/16 22:20,26166
2023/7/16 22:30,33224
2023/7/16 22:40,49680
2023/7/16 22:50,58714
2023/7/16 23:00,19076
2023/7/16 23:10,7512
2023/7/16 23:20,7044
2023/7/16 23:30,5891
2023/7/16 23:40,4893
2023/7/16 23:50,4288
2023/7/17 0:00,59435
2023/7/17 0:10,41244
2023/7/17 0:20,38834
2023/7/17 0:30,31361
2023/7/17 0:40,23753
2023/7/17 0:50,21345
2023/7/17 1:00,33814
2023/7/17 1:10,32849
2023/7/17 1:20,18064
2023/7/17 1:30,16112
2023/7/17 1:40,14576
2023/7/17 1:50,14238
2023/7/17 2:00,26875
2023/7/17 2:10,18030
2023/7/17 2:20,12448
2023/7/17 2:30,12050
2023/7/17 2:40,11221
2023/7/17 2:50,10475
2023/7/17 3:00,23455
2023/7/17 3:10,10616
2023/7/17 3:20,9649
2023/7/17 3:30,9286
2023/7/17 3:40,8877
2023/7/17 3:50,8564
2023/7/17 4:00,19871
2023/7/17 4:10,8938
2023/7/17 4:20,8663
2023/7/17 4:30,8543
2023/7/17 4:40,8227
2023/7/17 4:50,8439
2023/7/17 5:00,20722
2023/7/17 5:10,9128
2023/7/17 5:20,9017
2023/7/17 5:30,9855
2023/7/17 5:40,9907
2023/7/17 5:50,11119
2023/7/17 6:00,25858
2023/7/17 6:10,18577
2023/7/17 6:20,13242
2023/7/17 6:30,14403
2023/7/17 6:40,14787
2023/7/17 6:50,15673
2023/7/17 7:00,35057
2023/7/17 7:10,27059
2023/7/17 7:20,30526
2023/7/17 7:30,22369
2023/7/17 7:40,23268
2023/7/17 7:50,25062
2023/7/17 8:00,44898
2023/7/17 8:10,36382
2023/7/17 8:20,38426
2023/7/17 8:30,40703
2023/7/17 8:40,31328
2023/7/17 8:50,33396
2023/7/17 9:00,56301
2023/7/17 9:10,47819
2023/7/17 9:20,43877
2023/7/17 9:30,54278
2023/7/17 9:40,39774
2023/7/17 9:50,38222
2023/7/17 10:00,57557
2023/7/17 10:10,50331
2023/7/17 10:20,44212
2023/7/17 10:30,46145
2023/7/17 10:40,61168
2023/7/17 10:50,51345
2023/7/17 11:00,57755
2023/7/17 11:10,52726
2023/7/17 11:20,51858
2023/7/17 11:30,48192
2023/7/17 11:40,49551
2023/7/17 11:50,63034
2023/7/17 12:00,61650
2023/7/17 12:10,52907
2023/7/17 12:20,55472
2023/7/17 12:30,56920
2023/7/17 12:40,54868
2023/7/17 12:50,47658
2023/7/17 13:00,50878
2023/7/17 13:10,47082
2023/7/17 13:20,52647
2023/7/17 13:30,50227
2023/7/17 13:40,49760
2023/7/17 13:50,47890
2023/7/17 14:00,54244
2023/7/17 14:10,52310
2023/7/17 14:20,44396
2023/7/17 14:30,48742
2023/7/17 14:40,105834
2023/7/17 14:50,59923
2023/7/17 15:00,50887
2023/7/17 15:10,49240
2023/7/17 15:20,46622
2023/7/17 15:30,46389
2023/7/17 15:40,84792
2023/7/17 15:50,49394
2023/7/17 16:00,59492
2023/7/17 16:10,52771
2023/7/17 16:20,48902
2023/7/17 16:30,54963
2023/7/17 16:40,52971
2023/7/17 16:50,45865
2023/7/17 17:00,61506
2023/7/17 17:10,54493
2023/7/17 17:20,53073
2023/7/17 17:30,63834
2023/7/17 17:40,204642
2023/7/17 17:50,204899
2023/7/17 18:00,68472
2023/7/17 18:10,51287
2023/7/17 18:20,52433
2023/7/17 18:30,52595
2023/7/17 18:40,69692
