hour,oaid,os,item_names,brand,sw,sh,,
8,6d9199e3a97a346342406d6ded5165512c8d0eca357ec1922ef91ef325526741,Android_12,"爱情,都市,家庭",vivo,2319,1080,,
9,,Android_10,"剧情,喜剧,爱情,家庭",HUAWEI,2369,1200,,
9,,,"科幻,爱情",rockchip,,,,
0,,Android_12,音乐,HUAWEI,1236,2562,,
0,,,其他,apple,828,1792,,
0,9A905539D8B447FE9A3604042A6C59493c40a779e0f3a7c33e700a901c9bacb3,android,其他,OPPO,1080,2237,,
1,,Android_10,"都市,剧情",HUAWEI,1200,1444,,
3,981EC33F930A40EE9075FD3A66E8493B7e6520523e1d9c6b66365f58bab14cef,android,"剧情,家庭",realme,2302,1080,,
5,cc3694fa49faab29,Android_10,"明星,真人秀,竞演",Xiaomi,1080,2120,,
7,,Android_11,"爱情,偶像",HONOR,1080,2208,,
7,,Android_10,"明星,真人秀,竞演",HUAWEI,2292,1080,,
8,,,"芒果出品,青春,网剧,爱情,偶像",Skyworth,,,,
9,,,"剧情,喜剧,爱情,家庭",Xiaomi,,,,
9,,10,"古装,武侠,剧情,芒果出品",xiaomi,,,,
0,,,"都市,爱情,芒果出品",,,,,
0,834C21D2BEDF4220A3B0FD06FE0F593B0ee42f6d3c9c6a5cabf27961dc67b598,Android_12,其他,OPPO,1536,720,,
1,39FB4E7F400D4B7289CECF1D1995F49B78d7dbf960875e74c4d2ec0ee70ef1b6,Android_11,"都市,爱情,芒果出品",OPPO,1080,2285,,
1,,,"剧情,都市",apple,1284,2778,,
3,,,"爱情,都市,家庭",alps,,,,
6,,,"剧情,家庭",apple,2778,1284,,
7,02f5deeb331390b28c2a925e283808444721f857c75f45b495c87e3eee8320b1,Android_9,"都市,爱情",vivo,720,1404,,
8,863b95af32a67b07,Android_11,"古装,爱情,芒果出品",Redmi,2304,1036,,
9,,,"明星,真人秀,音乐,芒果出品",rockchip,,,,
9,cc59cc5b2c50e70810be0ab5362002f3257c3369ada54d739b8a05bceb8d49d2,Android_11,"剧情,爱情,芒果出品,都市",vivo,1080,2342,,
9,,,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",apple,2048,1536,,
9,fa298cb7553ea989,,"明星,真人秀,音乐,芒果出品",xiaomi,1080,2047,,
9,,Android_10,"剧情,家庭",HUAWEI,2265,1080,,
0,,,"都市,爱情,剧情",apple,2532,1170,,
0,BCE5C51C1AEF4F3DAF1B5F63BDC653481b9f5dd604b772973e3e7c5fbe0eb372,Android_11,"都市,职场",OPPO,1080,2264,,
0,cc2d259479a71c76,Android_11,"都市,爱情,芒果出品",Xiaomi,1440,2898,,
1,,,其他,apple,1170,2532,,
1,DE172E85281E4830B35947FDC2138E2Ba3284c91ecfa37da81bd383b20593a91,Android_12,其他,OPPO,720,1548,,
1,,Windows,"古装,武侠,剧情,芒果出品",,,,,
6,,,"爱情,剧情,喜剧,都市,家庭",apple,2048,1536,,
7,DACC57C5A46E4863B2C7819F5F53E03Eac5b36effb57d9224b8322f32065dff3,Android_11,其他,realme,720,1448,,
7,,,其他,apple,1170,2532,,
8,,,"剧情,家庭",alps,,,,
8,f17b1ee4c89fcdeca81b1d51177fdbf290aa7b22231552c151fd8f9448d7bb31,Android_10,"剧情,爱情,古装",vivo,2192,1080,,
8,,,"古装,悬疑,爱情",apple,1170,2532,,
8,,9,"都市,爱情,芒果出品",konka,,,,
9,,,其他,TCL,,,,
0,fb900439db947ac0b471188e0ae2c3e05ece38e9df3ea5c06e7a295ed50bc1b6,Android_10,"都市,爱情",samsung,720,1417,,
1,8b4669d2d7292a50e497d238d4de7294825e2248291b3d6131855c8952c404af,Android_11,其他,vivo,1080,2157,,
2,,,"喜剧,爱情,芒果出品",Konka,,,,
3,,,"纪实,生活,真人秀",apple,828,1792,,
4,,,"剧情,家庭",ChangHong,,,,
8,,,"爱情,都市",Xiaomi,,,,
8,,,其他,Skyworth,,,,
8,,,"音乐,芒果出品",Hisense,,,,
9,2A572355BCB048F79A949F9AD14E9EDD5f9811d426705fad9c86a39a10c8c50e,,"真人秀,教育",oppo,720,1544,,
9,,,"剧情,爱情,芒果出品,都市",Xiaomi,,,,
2,,,"爱情,都市,家庭",Skyworth,,,,
3,,Android_10,"明星,真人秀,音乐,芒果出品",HONOR,1080,2322,,
6,,Windows,"年代,剧情",,1920,1080,,
8,,Windows,其他,,,,,
