hour,oaid,os,item_names,brand,sw,sh,,
18,,,"悬疑,犯罪,芒果出品",apple,1125,2001,,
18,,,"爱情,都市,芒果出品",Xiaomi,,,,
18,140f2878aeda2889,Android_10,"亲子,明星,真人秀,教育,芒果出品",Redmi,1080,2218,,
18,,Android_10,"都市,爱情,芒果出品",HUAWEI,1080,2147,,
19,,,"芒果出品,爱情,古装",SHARP,,,,
19,,9,其他,MediaTek,,,,
19,,Android_10,其他,HUAWEI,2328,1128,,
19,,9,其他,xiaomi,,,,
19,,9,其他,PHILIPS,,,,
19,,Android_10,"真人秀,明星,竞技",HONOR,1080,2232,,
19,,,"纪实,生活,真人秀",Xiaomi,,,,
19,,,"剧情,家庭",MStar,,,,
20,ecfef980c6eb2f05,Android_13,"芒果出品,网剧,都市,爱情,职场",Redmi,2310,1080,,
20,,Android_10,"爱情,都市,家庭",HUAWEI,1080,2265,,
20,,Android_10,"情感,旅游,真人秀,芒果出品",HUAWEI,1133,2348,,
20,,,剧情,realtek,,,,
20,,,"剧情,喜剧,爱情,家庭",Android,,,,
20,D405F20FB1E34025996847BBD4B3164Eeb62c740f83555142e541d75929b74b7,Android_10,"爱情,悬疑,都市,芒果出品",OPPO,1080,2132,,
20,,,"芒果出品,青春,网剧,爱情,偶像",Android,,,,
20,B17C3BEDC7914D849C855FDB7F5F8DFF3197aff2d91c1accfda5271fe831e0a4,Android_12,"音乐,芒果出品",OnePlus,1080,2305,,
16,,,其他,HiDPTAndroid,,,,
17,0b66ad0c2f14b2a2,Android_12,"都市,爱情,剧情",Xiaomi,1440,3007,,
17,,9,"真人秀,芒果出品",Skyworth,,,,
17,,9,"真人秀,益智,搞笑",Dangbei,,,,
17,,9,其他,XiaoAiTongXue,,,,
17,,,"真人秀,竞技",apple,2048,1536,,
17,,Windows,"都市,爱情,剧情",,1920,1080,,
18,,,"家庭,爱情",TCL,,,,
18,,,"爱情,都市",SHARP,,,,
18,,Android_12,"真人秀,芒果出品",HUAWEI,1080,2304,,
18,,Android_9,"真人秀,益智",HUAWEI,1809,1080,,
18,,9,"真人秀,旅游",TCL,,,,
19,,,音乐,Konka,,,,
19,,,"剧情,喜剧,爱情,家庭",HONOR,,,,
19,,,"战争,剧情",vivo,720,1436,,
19,,,"真人秀,芒果出品",apple,828,1792,,
19,,,"古装,武侠,剧情,芒果出品",Coocaa,,,,
20,,Android_12,其他,HONOR,1080,2316,,
20,80eb3f4bcfe6adc,Android_10,其他,Redmi,2400,1036,,
20,,,其他,Xiaomi,,,,
20,,,"古装,武侠,剧情,芒果出品",ChangHong,,,,
20,,,"益智,芒果出品",Skyworth,,,,
20,BD09A7A37856486791CAB57A636D4ABF5b0b206bd94be6b143633489d0189b97,Android_12,"剧情,悬疑,谍战,年代",OPPO,2158,1080,,
20,DCD9BCDDD46246559E38D245EF54A39D481b91ec1f016bb0adf3bae9fe0619ac,Android_12,其他,realme,1080,2290,,
20,A3767517CB774D23958B8315E4CE4993e4b790279210508ac913b40bd2676289,Android_13,"都市,芒果出品,剧情",OPPO,1080,2161,,
20,,,"剧情,悬疑,犯罪",apple,1242,2208,,
20,,,"剧情,悬疑,爱情",Hisense,,,,
16,,,"真人秀,芒果出品",apple,1242,2208,,
17,,Android_10,"都市,剧情,爱情",HUAWEI,720,1411,,
17,,9,"都市,爱情,芒果出品",Renesas,,,,
17,,9,"爱情,悬疑,都市,芒果出品",XGIMI,,,,
17,,,"都市,爱情,剧情",apple,1242,2688,,
17,,,"警匪,悬疑,都市",honor,,,,
17,,,"剧情,爱情,芒果出品",ChangHong,,,,
17,,,"爱情,都市,家庭",apple,1170,2532,,
17,,,"剧情,都市",MStar,,,,
17,,,"爱情,都市,家庭",apple,1170,2532,,
17,,Android_10,"年代,剧情",HUAWEI,2224,1080,,
17,,9,"真人秀,明星,竞技",KONKA,,,,
17,46D896C75DBB4B93A1518A8A66B0DCBDf793b2ad3033c9612f7fb06bebdefa7d,ANDROID_11,"战争,剧情",OPPO,1080,2158,,
18,,,"都市,爱情,芒果出品",Xiaodu,,,,
18,,,"芒果出品,网剧,都市,爱情",Xiaomi,,,,
18,,10,"古装,爱情",xiaomi,,,,
18,4190395AFCD940B6B6E078BB3F502690942ba93c1c87a07767315b296b2b7fe7,Android_12,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",OPPO,2290,1032,,
19,,,"益智,芒果出品",SHARP,,,,
19,,,其他,Xiaodu,,,,
19,,9,"爱情,都市,家庭",XiaoAiTongXue,,,,
19,,Android_11,"剧情,喜剧,爱情,家庭",HONOR,1080,2292,,
19,,9,其他,changhong,,,,
19,,,"古装,爱情,芒果出品",Android,,,,
19,,,"真人秀,益智,搞笑",Sharp,,,,
19,,,"剧情,喜剧,爱情,家庭",Hisense,,,,
20,,,"都市,爱情,芒果出品",MBX,,,,
16,,,"爱情,都市,家庭",Android,,,,
17,,,"剧情,都市",apple,1242,2688,,
17,,Windows,"都市,爱情,芒果出品",,,,,
17,,,"爱情,悬疑,犯罪",Coocaa,,,,
17,,,"明星,真人秀,音乐,芒果出品",Skyworth,,,,
17,,,"音乐,芒果出品",Xiaodu,,,,
17,,,"真人秀,旅游",TCL,,,,
17,,Android_10,"剧情,爱情,芒果出品",HONOR,1080,2198,,
18,,,"悬疑,犯罪,芒果出品",apple,828,1792,,
18,,linux,"青春,都市,爱情",SAMSUNG,,,,
18,8AA2CC93C6004151A14AF38ECD5555A30520aa63bb3cf7a1bbefd852e5c272db,Android_10,"剧情,悬疑,谍战,年代",OPPO,2264,1080,,
18,,,"战争,剧情",Xiaodu,,,,
18,,,其他,Xiaomi,,,,
18,,,年代,HiDPT,,,,
18,,,"剧情,悬疑,犯罪",Allwinner,,,,
18,,10,"纪实,生活,真人秀",xiaomi,,,,
18,,,其他,apple,2048,1536,,
18,64b53eda84a5441a,Android_13,其他,Xiaomi,1080,2266,,
18,,,"益智,真人秀,搞笑,芒果出品",Android,,,,
19,065B43DDF701450491DFFA4CF56CAAAAd12c99d353639fce6aada946610add1e,Android_9,"都市,爱情",OPPO,1544,720,,
19,,Android_11,"古装,青春",HONOR,1080,2262,,
19,,Android_10,"真人秀,芒果出品",HUAWEI,1080,2147,,
19,,10,"爱情,都市,芒果出品",HUAWEI,,,,
19,,linux,"古装,爱情,芒果出品",SAMSUNG,,,,
20,,,"都市,爱情",MStar,,,,
20,,,"校园,青春,奇幻,喜剧,爱情",Xiaodu,,,,
20,,,"年代,战争,抗战,剧情",Skyworth,,,,
20,FAED0E4581734F7581D8FE70D502B4D8d7636e6d2c5ddc7fccc7b2fe136f8630,Android_13,其他,OPPO,1080,2305,,
20,,,其他,TCL,,,,
20,,Android_10,"爱情,都市,家庭",HUAWEI,1152,2268,,
17,,,"芒果出品,网剧,都市,爱情",Xiaomi,,,,
17,63532479775451fc7009321090aa77e661ae2566cfe7dd0a0cdbc7a66196f1dc,Android_11,"都市,爱情",vivo,1080,2157,,
17,6aea5b6c9bf6b5d23d8b40ba2a8f1eea4c9461d497424ab6264502bcd4076732,Android_13,"芒果出品,都市,爱情",vivo,1080,2313,,
17,0aa4df40a31e32bb,Android_13,其他,Xiaomi,1080,2296,,
18,,Android_9,其他,vivo,720,1491,,
18,,,"都市,职场",apple,828,1792,,
18,6ad363bc8839d154,Android_12,"剧情,都市,芒果出品",Redmi,2360,1040,,
18,,android_10,其他,HUAWEI,1080,2110,,
18,,9,"真人秀,旅游",TCL,,,,
18,CE546DA3F66F4301A7D78881D89BD66Cc2659bd4b188319eab4025b252f4e6b9,Android_13,"益智,芒果出品",OPPO,1080,2245,,
18,,Windows,"警匪,爱情,悬疑,芒果出品",,,,,
19,,,"爱情,言情,都市,芒果出品",Hisense,,,,
19,7ea0940b51756445,,"青春,爱情",Xiaomi,,,,
19,397DC92693A946718C79A943CFE5AD32a83a7d52d59d1188b7075bd5ed6572f3,Android_13,"都市,爱情,芒果出品",OPPO,2150,1080,,
19,,,"古装,青春",HiSTBAndroidV5,,,,
19,,Windows,"爱情,都市,芒果出品",,,,,
19,,,"爱情,都市,家庭",apple,1170,2532,,
19,,Android,"都市,爱情,芒果出品",RY,,,,
19,,,"都市,家庭,芒果出品",apple,2732,2048,,
19,,Mac,"益智,真人秀,搞笑,芒果出品",,768,1024,,
19,,,其他,Hisense,,,,
19,,Android_12,"剧情,爱情,芒果出品,都市",HUAWEI,1600,2006,,
19,,Android_12,其他,HUAWEI,1600,2006,,
20,,10,"剧情,古装,爱情,芒果出品",Sony,,,,
20,,,"爱情,都市,家庭",miniStation,,,,
20,572ad270353932943fa77e90411a61b70309b4486fee8b1185f161b7a59f520e,Android_13,"真人秀,益智,芒果出品",vivo,2320,1080,,
20,,10,"年代,剧情",HUAWEI,,,,
20,,Windows,"都市,爱情,剧情",,1920,1080,,
16,349816af51f44e15,Android_13,战争,Redmi,2304,1036,,
17,,Windows,"都市,爱情,剧情",,1920,1080,,
17,,,"家庭,喜剧,青春",,,,,
17,D913B58B238C49BBB28B3C735E2779BDb09a6da28d5edda471418ddb44a89c6a,Android_12,"喜剧,爱情,芒果出品",OPPO,1080,2141,,
17,,,"芒果出品,爱情,古装",Xiaomi,,,,
18,,Android_12,"爱情,言情,都市,芒果出品",HONOR,1080,2173,,
18,,,"剧情,爱情,芒果出品,都市",rockchip,,,,
18,,,"古装,爱情,芒果出品",apple,1170,2532,,
18,,,其他,apple,2360,1640,,
18,,,"文化,脱口秀,搞笑",Xiaomi,,,,
18,,,"爱情,古装,芒果出品,悬疑,剧情,网剧",Skyworth,,,,
18,,,"芒果出品,青春,网剧,爱情,都市",Hisense,,,,
18,,,"都市,爱情,芒果出品",Hisense,,,,
18,,,"剧情,喜剧,爱情,家庭",rockchip,,,,
18,,,"爱情,都市",Xiaodu,,,,
19,D346046F9CDD43F0BB14948935BE3C8B5d1c52400b8257e74df8534c1b234008,Android_12,"剧情,都市",OnePlus,1080,2184,,
19,,,"剧情,喜剧,爱情,家庭",Android,,,,
19,,,"纪实,生活,真人秀",apple,2388,1668,,
19,,,"都市,爱情,芒果出品",Hisense,,,,
19,,9,其他,xiaomi,,,,
19,,10,其他,Sony,,,,
19,,Windows,"古装,武侠,剧情,芒果出品",,,,,
19,,,"芒果出品,武侠,古装",MBX,,,,
20,,,"剧情,都市",Xiaomi,,,,
20,734a337c1fd84646d59cba3cc54701e1ad6c08606b73ac78a711b39df189e72a,Android_9,"悬疑,古装,奇幻,芒果出品",vivo,720,1491,,
20,,9,"战争,剧情",TCL,,,,
20,,Windows,"剧情,喜剧,爱情,家庭",,,,,
20,,Android_11,其他,HONOR,720,1552,,
20,,,"爱情,都市,芒果出品",HiSTBAndroidV5,,,,
16,,,"青春,偶像,爱情",Xiaomi,,,,
17,,,"爱情,都市,芒果出品",Xiaodu,,,,
17,,android_10,"爱情,都市,家庭",HUAWEI,,,,
17,,Android_10,"青春,校园",HUAWEI,1080,2277,,
17,,,"古装,武侠,剧情,芒果出品",Letv,,,,
17,,,"战争,剧情",Xiaodu,,,,
17,,11,"剧情,喜剧,爱情,家庭",TCL,,,,
18,,,"剧情,都市",Hisense,,,,
18,,,"悬疑,芒果出品",Xiaomi,,,,
18,,10,其他,HUAWEI,,,,
18,,,"剧情,喜剧,爱情,家庭",Sharp,,,,
18,,,"真人秀,芒果出品",Android,,,,
18,,9,"亲子,明星,真人秀,教育,芒果出品",XGIMI,,,,
18,66793A8175B64E80979C71C69C04B01Fb8137ea7af08380954e6762bd9bbe501,Android_11,"纪实,生活,真人秀",OPPO,1080,2158,,
18,,,"都市,职场",konka,,,,
18,,9,"爱情,都市,职场,芒果出品",Xiaomi,,,,
18,,Android_10,其他,HONOR,1080,2110,,
18,,9,"音乐,芒果出品",Xiaomi,,,,
18,,10,"古装,武侠,剧情,芒果出品",skyworthbox,,,,
18,40F2F2A583194DEBBBDC5963705A010C4b65a5fcfc75f520be8db2581d6afb5c,Android_12,"剧情,古装,爱情,芒果出品",OPPO,720,1504,,
18,,Windows,"都市,爱情,剧情",,1920,1080,,
18,,10,"都市,爱情,芒果出品",xiaomi,,,,
18,,,"古装,青春",Android,,,,
19,,,"真人秀,芒果出品",970x,,,,
19,,9,"爱情,都市,家庭",Hisense,,,,
19,D13C11B51716452189262E09F42DEA67eddc8045d7076992300db987074dae2c,Android_12,"爱情,言情,都市,芒果出品",OPPO,2153,1080,,
19,,,"益智,真人秀,搞笑,芒果出品",Letv,,,,
19,,,"爱情,剧情,喜剧,都市,家庭",Hisense,,,,
19,,,"古装,武侠,剧情,芒果出品",Xiaomi,,,,
20,,,"爱情,言情,都市,芒果出品",apple,1170,2532,,
20,,,"剧情,都市",apple,1170,2532,,
20,,,"爱情,悬疑,都市,芒果出品",Hisense,,,,
20,,,"爱情,都市",MBX,,,,
20,,9,"古装,爱情,芒果出品",Hisense,,,,
20,,,"仙侠,古装,爱情",Zeemr,,,,
16,,Windows,其他,,,,,
16,4cba965c705f3d18faf1d8b8c627cd89a7107168f41b7637ca6ae7bb0ea04fd5,Android_10,"警匪,悬疑,都市",vivo,1080,2318,,
16,B4CDAB6BC477441F9CF43638514A78BE4c14e4d06d42d759c4a6305a51ca0c93,Android_13,"剧情,爱情,古装",OPPO,1080,1923,,
17,,,"爱情,剧情,喜剧,都市,家庭",apple,2160,1620,,
17,E2461D37EEF941CFA924D2EDAF6B2B9Cbe18535a7fbcf2e61f23f493f5f9b0b6,Android_11,"芒果出品,校园,网剧,青春,偶像,爱情",realme,1080,2285,,
17,,,"都市,爱情",alps,,,,
18,,9,"真人秀,竞技",Hisense,,,,
18,,,其他,realtek,,,,
18,,,"芒果出品,爱情,古装",apple,1170,2532,,
18,,Android_10,"芒果出品,爱情,古装",HONOR,720,1552,,
18,255FFEE90AD04EC99E8060C118523E2239a5a31ddea8c83de7e6c27cf49a5efb,,"真人秀,教育",OPPO,1424,720,,
18,ECA98B9B1AF64BD9A92B8E8C8AA37A7B26e37272cdab40ead84430c8907e09bf,Android_12,"悬疑,犯罪,芒果出品",OPPO,1080,1800,,
18,,Android_10,"剧情,爱情,芒果出品,都市",HUAWEI,1080,2289,,
18,,Android_10,"剧情,都市",HUAWEI,1080,2040,,
18,,,"剧情,犯罪",Xiaodu,,,,
19,,,其他,apple,2532,1170,,
19,719E9AF505714A1C95FFAE6FBBEBCFF6c407c4c4f6578779820107b2f6772094,Android_13,"真人秀,益智,芒果出品",OPPO,1080,2305,,
19,,,"音乐,芒果出品",Xiaodu,,,,
19,,,"益智,真人秀,搞笑,芒果出品",Xiaomi,,,,
19,,,"亲子,明星,真人秀,教育,芒果出品",Android,,,,
20,98F789B13A02FDA9E7F9E6360F4D8693,,其他,EEBBK,1728,2368,,
20,,Windows,"都市,爱情,剧情",,1707,1067,,
20,,,"文化,脱口秀,搞笑",Xiaodu,,,,
20,0E8300BAB8FC49F7BB4FF403F8F40B8A089c01f8261b59145f75bd8c8cb9a2eb,Android_10,"音乐,芒果出品",OPPO,1080,2200,,
20,0CCC617545184731B2CA757A2972C04Bb8591bac8d90d8dab5461c9c383791e6,Android_13,"家庭,爱情",realme,2316,1080,,
20,B07A52D030AC48D5A9F8671DBC83021Afe503d89baa7a88fbde7f1a5d54624c3,android_11,"剧情,喜剧,爱情,家庭",OPPO,1080,2288,,
20,,10,"校园,青春,偶像,爱情",HUAWEI,,,,
20,,Android_10,其他,vivo,,,,
20,,,"爱情,言情,都市,芒果出品",skyworthbox,,,,
20,,Android_12,"战争,剧情",HUAWEI,2264,1080,,
17,,,"古装,青春",apple,2732,2048,,
17,,9,"芒果出品,爱情,古装",Hisense,,,,
17,,,"剧情,犯罪",skyworthbox,,,,
17,,9,"剧情,喜剧,爱情,家庭",Sony,,,,
17,,,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",apple,1125,2436,,
17,,,"剧情,爱情,芒果出品,都市",Xgimi,,,,
17,,,"都市,爱情,芒果出品",Coocaa,,,,
17,,Android_12,"战争,剧情",HUAWEI,2211,1080,,
17,,Windows,"都市,爱情,剧情",,1920,1080,,
18,,Android_11,"爱情,言情,都市,芒果出品",HONOR,1080,2238,,
18,,9,"真人秀,教育",HONOR,,,,
18,,,其他,Android,,,,
18,,Android_10,"音乐,芒果出品",HONOR,1080,2214,,
18,,,其他,Xiaomi,,,,
19,,9,"芒果出品,爱情,古装",Xiaomi,,,,
19,,Windows,"情感,旅游,真人秀,芒果出品",,,,,
19,,,"校园,青春,偶像,爱情",970x,,,,
19,,Windows,"古装,宫廷,言情,芒果出品",,,,,
19,,,"年代,都市",Skyworth,,,,
19,,,"都市,剧情,爱情",Toshiba,,,,
19,,,"都市,爱情,芒果出品",Xiaomi,,,,
20,4B126073E4B84E1095BF4284D14BC26D95afe95eaee2df1f1103d7fba54968ff,Android_10,"悬疑,古装,奇幻,芒果出品",OPPO,2264,1080,,
20,,,"剧情,喜剧,爱情,家庭",Xiaomi,,,,
20,,,"警匪,爱情,悬疑,芒果出品",Allwinner,,,,
20,,Android,"剧情,喜剧,芒果出品",RY,,,,
20,,,"剧情,家庭",HONOR,,,,
20,,linux,"爱情,都市,家庭",SAMSUNG,,,,
20,94AC3B94EC1C4D0B819138C1E302F5192383447ae2107095757adea34e9f4b01,Android_12,"都市,芒果出品,剧情",OPPO,1080,2178,,
20,c4f70a7bc4b57bfb,Android_12,"宫廷,古装,爱情,剧情",Xiaomi,2250,1036,,
16,,Android_9,"古装,武侠,剧情,芒果出品",HONOR,2208,1080,,
17,,,"剧情,喜剧,爱情,家庭",apple,2778,1284,,
17,,,"芒果出品,网剧,都市,爱情",apple,1242,2208,,
17,,,"警匪,爱情,悬疑,芒果出品",Xiaomi,,,,
17,,Mac,"爱情,都市,职场,芒果出品",,,,,
17,,,"剧情,悬疑,犯罪",,,,,
17,af32f71fbd00ccc1,Android_10,"情感,旅游,真人秀,芒果出品",Xiaomi,1080,2115,,
17,,,其他,MStar,,,,
17,,,"真人秀,芒果出品",apple,1792,828,,
18,,,"音乐,竞技",Xiaomi,,,,
18,,,"爱情,都市,家庭",Hisense,,,,
18,328d3e037659fbfe702ee2d51d6f1985f61aa64179a32e036d7fbb29ee750bf4,Android_12,"亲子,明星,真人秀,教育,芒果出品",vivo,1080,2313,,
18,,,其他,rockchip,,,,
18,,9,"真人秀,芒果出品",Stellamore_STM,,,,
18,,,"青春,偶像,校园",Skyworth,,,,
18,,,"亲子,明星,真人秀,教育,芒果出品",Xiaodu,,,,
18,,,"爱情,都市,家庭",Letv,,,,
18,986313AC772844A4BBE06D8587EF22613da8d9b6b9f645cedef1128ab029f8b3,Android_12,"文化,脱口秀,搞笑",OPPO,1080,2290,,
19,,Android_9,"爱情,都市,家庭",HUAWEI,1920,1137,,
19,,,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",Xiaomi,,,,
19,,,"年代,剧情",Xiaodu,,,,
19,2bbb8964c75b3bf7ed578b6bbf858efd4051485102bef9b20e0d35d9be8b24f6,Android_10,"爱情,都市,家庭",samsung,1200,2000,,
19,,android_10,"都市,剧情",HUAWEI,1200,2499,,
19,06637B3B171A4C96BACB200BC36AB2A334f4a898a106973ba5ad225a0286ab8e,Android_11,"爱情,都市,家庭",OPPO,1080,2172,,
19,,Windows,"都市,爱情",,,,,
19,,9,"纪实,生活,真人秀",XGIMI,,,,
20,2A637FB4D0014D6DBC82CC1E5FD15661d8b9683a057d49e2fc775c6d64e1f768,Android_12,"真人秀,音乐",OPPO,1080,2170,,
20,,,"古装,武侠,剧情,芒果出品",Xiaomi,,,,
20,,Android_10,"亲子,明星,真人秀,教育,芒果出品",HUAWEI,1399,720,,
20,,9,其他,xiaomi,,,,
20,,Android_12,音乐,HUAWEI,1600,2560,,
20,ED1D88744BD041909159111DC71FE78Ea3fbf794867e60e76d84362588d1d70f,Android_11,"剧情,喜剧,爱情,家庭",OPPO,1080,2242,,
17,,Windows,"古装,爱情,悬疑,芒果出品",,,,,
17,,,"爱情,言情,都市,芒果出品",Xiaomi,,,,
17,da8a6c8788175116,Android_9,"古装,悬疑,爱情",Xiaomi,1080,2221,,
17,,,其他,apple,1170,2532,,
18,,,"都市,爱情,芒果出品",Skyworth,,,,
18,,9,"爱情,都市,芒果出品",Xiaomi,,,,
18,,,"悬疑,犯罪,芒果出品",apple,2532,1170,,
18,,,"古装,爱情",MStar,,,,
18,,,"都市,爱情,芒果出品",Hisense,,,,
18,,,"古装,武侠,剧情,芒果出品",rockchip,,,,
18,,,"都市,爱情,芒果出品",Xiaomi,,,,
18,,,"真人秀,美食",Hisense,,,,
19,,,"亲子,明星,真人秀,教育,芒果出品",Android,,,,
19,,,"剧情,爱情,芒果出品,都市",Android,,,,
19,,,"爱情,偶像",Android,,,,
19,,Android_10,"宫廷,古装,言情,芒果出品",HUAWEI,2340,1080,,
19,4078F685127D45D3B8F27FCD5DFC5F4E7c7da80fec85dd7d6e440f12e4a74ff4,Android_12,"剧情,喜剧,爱情,家庭",OPPO,1080,2153,,
19,,,"真人秀,芒果出品",apple,828,1792,,
19,,Android_12,其他,HONOR,1152,2268,,
20,978A64F544A84307AEFB748519ABA0AB72a33c8250fded6183d414896f9bf41b,Android_11,"剧情,悬疑,谍战,年代",OPPO,1440,720,,
20,,,"都市,爱情,芒果出品",Xiaomi,,,,
20,,,其他,Hisense,,,,
20,,,"爱情,都市,家庭",Hisense,,,,
20,,,"爱情,都市,芒果出品",Android,,,,
20,,,"明星,真人秀,竞演",apple,1284,2778,,
20,,,"古装,宫廷,言情,芒果出品",apple,1125,2436,,
20,,Android_12,"爱情,都市,家庭",HUAWEI,2277,1080,,
17,,9,"都市,爱情,芒果出品",PHILIPS,,,,
17,,,"爱情,都市",SHARP,,,,
17,,linux,"爱情,剧情,喜剧,都市,家庭",SAMSUNG,,,,
17,,,"都市,爱情",pptv,,,,
17,,,"亲子,芒果出品,真人秀",SHARP,,,,
17,,,"警匪,爱情,悬疑,芒果出品",Xiaomi,,,,
17,,,"都市,爱情,芒果出品",HiDPTAndroid,,,,
17,,,"剧情,喜剧,爱情,家庭",Letv,,,,
18,,,其他,Xiaomi,,,,
18,,,其他,Hisense,,,,
18,B71DA365F6D74CAF8A6ED3B658600546955a9d0bc3f7f8eace72b028ced34506,Android_12,其他,OPPO,1080,2245,,
18,,,"芒果出品,古装,爱情,玄幻,网剧",Xiaomi,,,,
18,,,其他,MStar,,,,
18,,,"芒果出品,真人秀,明星,搞笑",realtek,,,,
18,,10,"都市,爱情,芒果出品",xiaomi,,,,
18,,,"芒果出品,青春,偶像,爱情,古装,网剧",MStar,,,,
18,,Android_10,"喜剧,爱情,芒果出品",HUAWEI,1080,2139,,
18,,,其他,SHARP,,,,
19,,,其他,apple,1125,2436,,
19,3685ff9319c22bbd,Android_13,"都市,剧情",Redmi,1080,2186,,
19,,,"都市,职场",HUAWEI,1200,1920,,
19,,,"都市,爱情",Xiaomi,,,,
19,,,"真人秀,纪实",apple,2160,1620,,
19,,,"宫廷,古装,言情,芒果出品",Xiaomi,,,,
19,,,"爱情,剧情",apple,1792,828,,
20,,,"真人秀,教育",MStar,,,,
20,,,其他,alps,,,,
20,,,"都市,爱情,芒果出品",Skyworth,,,,
20,335402321BE042BE93650AB1F307D89A0bc0195b1f1f75d0c16af20664b89c10,Android_12,"古装,爱情,芒果出品",realme,1080,2280,,
20,B3E66038455B41C694C736EA905A26C0489738b8602bd119e161445b4eaba3ef,Android_13,"爱情,奇幻",OPPO,1080,2153,,
16,,,"剧情,犯罪",apple,2160,1620,,
16,,,"爱情,都市,家庭",Xiaomi,,,,
17,,,"剧情,喜剧,爱情,家庭",HiSTBAndroidV5,,,,
17,,,"都市,爱情,芒果出品",TCL,,,,
17,,Linux,"古装,武侠,剧情,芒果出品",,,,,
17,,Windows,"真人秀,明星,竞技",,,,,
17,,Windows,"都市,爱情,芒果出品",,,,,
17,,,"战争,剧情",apple,2048,1536,,
17,,,"真人秀,竞技",Xiaomi,,,,
18,,,"年代,战争,抗战,剧情",Xiaodu,,,,
18,,,"真人秀,芒果出品",PHILIPS,,,,
18,,,"都市,爱情,芒果出品",apple,1125,2436,,
18,,Android_10,其他,HUAWEI,1080,2232,,
18,,,"文化,脱口秀,搞笑",Skyworth,,,,
18,,Windows,"剧情,喜剧,爱情,家庭",,,,,
18,,Android_12,"校园,青春,偶像,爱情",HONOR,1080,2214,,
18,,,"年代,都市",HiDPTAndroid,,,,
18,,,"偶像,都市,爱情,青春",ChangHong,,,,
19,,,"战争,剧情",rockchip,,,,
19,,Android_10,"战争,剧情",HUAWEI,2170,1080,,
19,,Android_10,"战争,剧情",HUAWEI,1080,2289,,
19,8FB42436296C44BBA085105E1F6797204938da789d9d1310322373ad21005949,Android_12,其他,OPPO,2293,1032,,
19,,9,"纪实,生活,真人秀",KONKA,,,,
19,26B94A2F8ACF4507BC6A847B3048C02505ddb4fff26bf18ffe4de00259a48cdb,,"剧情,喜剧,爱情,家庭",OPPO,1424,720,,
19,,,"爱情,都市,家庭",rockchip,,,,
19,,,"都市,爱情,芒果出品",rockchip,,,,
19,,Android_10,"芒果出品,爱情,网剧,奇幻,古装",HONOR,1503,720,,
20,,,其他,HiSTBAndroidV6,,,,
20,,,其他,Android,,,,
20,3768b9c81d787dd9,Android_10,其他,Xiaomi,1080,2115,,
20,,,"芒果出品,古装,爱情,玄幻,网剧",Android,,,,
20,299A087BADCE452B9F602A2C1285C5DD0b5e9a411b1861a9459b443241fc7746,Android_11,"芒果出品,网剧,青春,偶像,爱情",OPPO,1080,2161,,
20,,,"剧情,都市",Android,,,,
20,48D84F806EF24FB58977F840FB2842002481cf23ada88147c5d8d2bd60a45eea,Android_12,"明星,真人秀,竞演",OPPO,1080,2256,,
20,,,"都市,爱情,芒果出品",Xiaomi,,,,
20,,,其他,Skyworth,,,,
20,,,"青春,都市,爱情",apple,2732,2048,,
20,,linux,"都市,爱情",LG,,,,
17,,,"爱情,都市,家庭",apple,2532,1170,,
17,,Windows,"都市,爱情",,,,,
17,e82e6736223d8dd7,Android_12,"战争,剧情",Redmi,1080,2272,,
17,,9,音乐,Sony,,,,
17,,,"真人秀,芒果出品",alps,,,,
17,,,"剧情,喜剧,爱情,家庭",HiSTBAndroidV6,,,,
17,781AC0AE5DEB4CDDAE61100F9E601E5A33e6cf643c026a8da6738e4e9d1cdb7a,Android_10,"芒果出品,青春,偶像,爱情,古装,网剧",OPPO,2068,1080,,
18,,,"都市,剧情",ChangHong,,,,
18,,9,"亲子,明星,真人秀,教育,芒果出品",XGIMI,,,,
18,,9,"爱情,都市",PHILIPS,,,,
18,7BE158AF9B93407FA7BB4C98D3AB4E8511522c5bf9480e3f0e9e271bea798c70,Android_12,其他,OPPO,720,532,,
18,,Android_12,其他,HONOR,1080,2298,,
18,,,"明星,真人秀,音乐,芒果出品",Hisense,,,,
18,,9,"爱情,都市,家庭",Sony,,,,
18,cd7869ee5c931daa,Android_11,"亲子,明星,真人秀,教育,芒果出品",Xiaomi,3063,1384,,
18,,,"音乐,竞技",Xgimi,,,,
18,,,"真人秀,教育",HiDPT,,,,
18,,,年代,HUAWEI,1080,2231,,
18,2D9C8ABA1A7442D8B885755E3024F5AB0a3e549fad1d588e7816fbb8e5c24547,Android_11,"都市,爱情,芒果出品",OPPO,2290,1032,,
18,2EA77F5F8452400BA7918DACD6251D7966e94385b766e543f0af5f410438ce7d,Android_13,"都市,爱情,剧情",OPPO,2302,1032,,
18,,,"爱情,言情,都市,芒果出品",apple,1170,2532,,
19,,,其他,MStar,,,,
19,,,"都市,爱情,剧情",apple,2532,1170,,
19,,Android_10,其他,HUAWEI,1080,1120,,
19,,,"明星,真人秀,芒果出品",Xiaodu,,,,
19,,10,剧情,xiaomi,,,,
